track	start	end	label
MatheAvarSeitha-Bhairavi-GKI-SN	00.09	00.11	pndp
MatheAvarSeitha-Bhairavi-GKI-SN	00.09	00.11	dmp
MatheAvarSeitha-Bhairavi-GKI-SN	00.11	00.13	d'ns
MatheAvarSeitha-Bhairavi-GKI-SN	00.13	00.14	sndp
MatheAvarSeitha-Bhairavi-GKI-SN	00.15	00.18	pmgr
MatheAvarSeitha-Bhairavi-GKI-SN	00.15	00.17	g
MatheAvarSeitha-Bhairavi-GKI-SN	00.15	00.18	gpmgrrs
MatheAvarSeitha-Bhairavi-GKI-SN	00.30	00.31	nsgr
MatheAvarSeitha-Bhairavi-GKI-SN	00.31	00.33	gm
MatheAvarSeitha-Bhairavi-GKI-SN	00.33	00.35	pndp
MatheAvarSeitha-Bhairavi-GKI-SN	00.33	00.36	pdmp
MatheAvarSeitha-Bhairavi-GKI-SN	00.33	00.36	dmp
MatheAvarSeitha-Bhairavi-GKI-SN	00.35	00.36	d'nd'n
MatheAvarSeitha-Bhairavi-GKI-SN	00.36	00.38	npd
MatheAvarSeitha-Bhairavi-GKI-SN	01.41	01.42	pndp
MatheAvarSeitha-Bhairavi-GKI-SN	01.41	01.42	ndp
MatheAvarSeitha-Bhairavi-GKI-SN	01.46	01.49	sgrgmp
MatheAvarSeitha-Bhairavi-GKI-SN	01.46	01.49	sgr
MatheAvarSeitha-Bhairavi-GKI-SN	01.49	01.51	pndpdm
MatheAvarSeitha-Bhairavi-GKI-SN	01.56	01.58	grs
MatheAvarSeitha-Bhairavi-GKI-SN	02.38	02.39	pd'n
MatheAvarSeitha-Bhairavi-GKI-SN	02.39	02.41	d'ns
MatheAvarSeitha-Bhairavi-GKI-SN	02.41	02.42	rsnd'
MatheAvarSeitha-Bhairavi-GKI-SN	02.41	02.44	rsnd'ns
MatheAvarSeitha-Bhairavi-GKI-SN	02.42	02.44	ns
MatheAvarSeitha-Bhairavi-GKI-SN	03.08	03.09	nrs
MatheAvarSeitha-Bhairavi-GKI-SN	03.09	03.10	sndp
MatheAvarSeitha-Bhairavi-GKI-SN	03.11	03.13	rsndp
MatheAvarSeitha-Bhairavi-GKI-SN	03.13	03.14	pd'nd'
MatheAvarSeitha-Bhairavi-GKI-SN	04.00	04.02	pndp
MatheAvarSeitha-Bhairavi-GKI-SN	04.00	04.02	ndp
MatheAvarSeitha-Bhairavi-GKI-SN	04.04	04.06	pmgrs
MatheAvarSeitha-Bhairavi-GKI-SN	04.04	04.06	grs
MatheAvarSeitha-Bhairavi-GKI-SN	04.06	04.08	sgr
MatheAvarSeitha-Bhairavi-GKI-SN	04.06	04.08	sgrgmp
MatheAvarSeitha-Bhairavi-GKI-SN	04.09	04.11	pndp
MatheAvarSeitha-Bhairavi-GKI-SN	04.37	04.40	pmnd'n	
MatheAvarSeitha-Bhairavi-GKI-SN	04.37	04.40	nd'n
MatheAvarSeitha-Bhairavi-GKI-SN	05.02	05.04	sndp
MatheAvarSeitha-Bhairavi-GKI-SN	05.02	05.04	nrs
MatheAvarSeitha-Bhairavi-GKI-SN	05.07	05.09	grgm
MatheAvarSeitha-Bhairavi-GKI-SN	05.07	05.09	rgmm
MatheAvarSeitha-Bhairavi-GKI-SN	05.23	05.25	grgmp
MatheAvarSeitha-Bhairavi-GKI-SN	05.31	05.33	pndp
MatheAvarSeitha-Bhairavi-GKI-SN	05.33	05.35	dmp
MatheAvarSeitha-Bhairavi-GKI-SN	05.41	05.42	pd'nd'
MatheAvarSeitha-Bhairavi-GKI-SN	05.44	05.45	grn
MatheAvarSeitha-Bhairavi-GKI-SN	05.44	05.45	srn
MatheAvarSeitha-Bhairavi-GKI-SN	06.00	06.02	pgr
MatheAvarSeitha-Bhairavi-GKI-SN	06.00	06.02	pgrs
MatheAvarSeitha-Bhairavi-GKI-SN	06.03	06.05	d'ns
MatheAvarSeitha-Bhairavi-GKI-SN	06.03	06.05	nd'ns
MatheAvarSeitha-Bhairavi-GKI-SN	06.15	06.16	nrs
MatheAvarSeitha-Bhairavi-GKI-SN	06.16	06.18	nddp
MatheAvarSeitha-Bhairavi-GKI-SN	06.30	06.32	rndp
MatheAvarSeitha-Bhairavi-GKI-SN	06.33	06.34	pd'nd'

Balagopala-Bhairavi-MD-HB	00.03	00.04	sgr
Balagopala-Bhairavi-MD-HB	00.02	00.04	nnsgr
